id_especialista,nombre,sede,zona
79,JUDY IZQUIERDO PALMIRA,1,C
81,LYDA ISHIBASHI,1,
82,CARLOS MONTOYA,1,C
83,MARTHA LUCIA VARON,1,C
84,SERGIO ALFREDO MENDOZA,1,
85,JUANA CECILIA ESPINAL - MIRANDA,23,C
86,ADRIANA MARIA LOZADA,1,
87,FISIOREHABILITAR,1,C
88,VICTORIA EUGENIA PARRA M,1,C
89,LINA MARIA SOTO RAMIREZ,1,
92,OPTICA MEDICA,1,
93,FISIOREHABILITAR,1,C
94,ALVARO RODRIGUEZ PALMIRA,1,C
95,TEZ BRONCEADA,1,
96,MANUEL PUENTES,24,C
97,MONICA BERNAL,24,C
99,CARLOS H MASMELA PALMIRA,1,C
100,VISION CENTER,1,
101,ALEXANDRA LONDO–O,1,
102,RADOVALLE -,1,
104,FREDDY BENITEZ,1,
105,ALEJANDRO ORTIZ,1,
106,GLORIA ESCOBAR,1,
107,HECTOR BENITEZ,1,
108,LUCY GARCIA CONTACTO,1,N
109,MIGUEL ESMERAL CONTACTO,1,
110,LUCERO SALAZAR CONTACTO,1,
111,MAURICIO MORENO CONTACTO,1,
112,IVAN O ALMARIO CONTACTO,1,
113,DIANA E DUARTE CONTACTO,1,C
116,JORNADA DE FOMENTO IPS,1,C
117,VICTORIA EUGENIA PARRA M,1,C
119,MIGUEL E ANDRADE C NSRA D,1,
120,VICTORIA EUGENIA PARRA M,1,C
121,GERMAN MOSQUERA,1,
122,MYRIAM HELENA LLANOS,1,
124,EDSON VELASQUEZ,1,
125,SHIRLEY SANCHEZ,1,
126,RAFAEL MEDINA,1,
127,ALVARO KAFURI,1,
128,ANDRES ACOSTA NARVAEZ,1,C
130,FISIOREHABILITAR,1,C
131,ORLANDO ARBOLEDA CONTACTO,1,
132,SANTIAGO SALAZAR PALMIRA,1,
133,OPTICA LASER LTDA,1,C
134,JUAN CARLOS CASTILLA,1,
135,CENTRO MEDICO YUMBO,1,
137,CENTRO MEDICO CENTENARIO S.A.S,17,C
138,FUNDACION FEDI,1,C
139,CENTRO MEDICO CENTENARIO S.A.S,17,C
140,MARIA DE LOS ANGELES LOZA,1,
141,CRISTHIAN FDO MOTTA,1,
142,HAROLD ZAMORANO,1,C
5252,JG CIRUGIA PLASTICA INTEGRAL S.A.S,1,C
5253,ALEJANDRO RESTREPO ORTEGA,1,C
5254,GESENCRO S.A.S,37,C
5255,GESENCRO S.A.S,37,C
5256,GESENCRO S.A.S,37,C
5257,GESENCRO S.A.S,37,C
143,GUILLERMO ALBERTO RIOS,1,
144,ANA CECILIA KAFURI,1,N
145,CENTRO MEDICO FLORIDA,21,C
147,MONICA DELGADO,1,
148,OPTICA PALMIRA,1,
149,POLITECNICO EMPRESARIAL P,1,
150,SYSTEM PLUS,1,C
151,ALFONSO LOPEZ PUMAREJO,1,
152,THE ENGLISH ACADEMY,1,C
153,ENGLISH NOW INSTITUTE,1,
154,ISED INSTITUTO BACHILLERA,1,
155,PARQUE DEL AZUCAR PALMIRA,1,C
156,PARQ DEL SUR PALMIRA,1,
157,VICTORIA EUGENIA PARRA M,1,C
159,YAMILE CAMPO,1,
160,LINA MARITZA CIFUENTES,1,C
161,CENTRO MEDICO LAS LAJAS,1,
162,CENTRO RADIOLOGICO POPULAR,1,C
163,ANGELA JOHANA GIRALDO MARMOLEJO,1,C
166,PROFAMILIA PALMIRA,1,C
167,VICTORIA E ALZATE MORALES,1,
168,JOSE ALEJANDRO RICO,1,
169,PAULA ANDREA COLMENARES,1,
170,DIEGO FDO RICO,1,
171,CRISTHIAN MOTTA PALMIRA,1,
172,PROFAMILIA PALMIRA,1,
173,CLAUDIA JULIANA DIAZ GOME,1,
174,CARLOS CHAVEZ,1,
175,LUZ MARINA PALACIOS,1,
176,LILIA JULIETA CASTRO,1,
177,FABIO MURILLO,1,
178,CENTRO SUPERIOR SANTO TOM,1,
179,ADOLFO LEON SAAVEDRA,1,C
180,PEDREGAL DE YUMBO,1,C
181,CENTRO MEDICO ABI ABI,1,
182,ALBA LUCIA CASTA±O,1,
183,ELBAR LOZANO PALMIRA,1,C
329,ARMANDO PABON,18,S
330,CENTRO MEDICO DEL PARQUE,18,S
331,CENTRO MEDICO DEL PARQUE,18,S
333,CENTRO MEDICO DEL PARQUE,18,S
334,CENTRO MEDICO DEL PARQUE,18,S
335,CENTRO MEDICO DEL PARQUE,18,S
5258,SONRISA PERFECTA,1,C
5259,SONRISA PERFECTA,1,C
5260,SONRISA PERFECTA,1,C
5261,SONRISA PERFECTA,1,C
5262,SONRISA PERFECTA,1,C
5263,SONRISA PERFECTA,1,C
5264,SONRISA PERFECTA,1,C
804,ESTADERO Y BALNEARIO LOS GUAYABALES,18,C
3462,OPTICA DANNY,21,C
332,CENTRO MEDICO DEL PARQUE,18,S
3834,SUR.ORGANIZACION OK REVIS,18,C
5265,PATRICIA ESCOBAR,1,C
184,PAOLA ANDREA CASTRILLON,1,C
185,XIMENA HORMAZA LLANOS,1,
186,PALMIRA*FUND.SALUD HOMBRE,1,C
187,MAMOGRAFIAS SAN VICENTE,1,C
188,CLINICA OFTAMOLOGICA DE PALMIRA,1,C
189,CENTRO MEDICO DEL PARQUE,18,C
190,OPTICA DEL LAGO OPTICA DE,1,
191,CLAUDIA LORENA RAMOS,1,
192,ANGELA JOHANA GIRALDO MARMOLEJO,1,C
3463,OPTICA DANNY,21,C
3620,NATALIA VARGAS - JAMUNDI,18,C
3722,JAMUNDI MULTISONRISAS,18,C
194,MARCELA SANABRIA PALMIRA,1,C
195,LORENA DELGADO PALMIRA,1,
5267,SILDRA FAJAS POSTQUIRURGICAS Y MOLDEADORAS,1,C
196,JUAN CARLOS LOPEZ,1,
197,REHABILITACION FISICA INTEGRAL IPS,1,C
198,REHABILITACION FISICA INTEGRAL,1,C
199,REHABILITACION FISICA INT,1,C
200,MARTHA L JARAMILLO PALMIR,1,
201,MIGUEL ANGEL VELES,1,
202,MANUEL SOTELO ALPALA,1,
203,MARIA AURISTELLA BOLA—OS,1,
204,DIEGO CAMPO PALMIRA,1,C
5268,UNIDAD DE SALUD OCUPACIONAL,1,C
5269,UNIDAD DE SALUD OCUPACIONAL,1,C
5271,UNIDAD DE SALUD OCUPACIONAL,1,C
5272,UNIDAD DE SALUD OCUPACIONAL,1,C
5273,RADIOLOGIA ORAL ODONTOLAB-X,1,C
205,GIUSSEPPE AGUADO GOMEZ,1,
206,MARIA N CAMPA—A PALMIRA,1,
207,FUNDACION FEDI,1,C
208,BETSI MARILIS MANCERA M,1,
209,FUNDACION FEDI,1,C
210,FUNDACION FEDI,1,C
212,OSCAR NARVAEZ MORENO,1,
213,LUZ MARINA GIRALDO,1,
214,FEDRA POLO,1,
5276,NATHALIE QUIROZ VALENCIA,1,C
5277,JOSE FERNANDO BACCA GAMBOA,17,C
4605,JULIANA TOFI§O GONZALEZ,6,C
5278,TERAFISICA IPS S.A.S,17,C
5279,TERAFISICA IPS S.A.S,17,C
5280,TERAFISICA IPS S.A.S,17,C
5281,TERAFISICA IPS S.A.S,17,C
5282,TERAFISICA IPS S.A.S,17,C
5283,TERAFISICA IPS S.A.S,17,C
5284,TERAFISICA IPS S.A.S,17,C
5285,LOREDANA MARRIAGA NU§EZ,1,C
4606,WINNERX GYM,6,C
4607,TIENDA DE NUTRICION WINNERX,6,C
5286,ANA ISABEL PADILLA MARIN,1,C
4608,CENTRO ESTETICO IRMA MOLINA SPA,6,S
4609,LUIS ARTURO RUIZ,17,C
5287,SONRISA PERFECTA,17,C
5288,SONRISA PERFECTA,17,C
5289,SONRISA PERFECTA,17,C
5290,SONRISA PERFECTA,17,C
5291,SONRISA PERFECTA,17,C
5292,SONRISA BY GUILLERMO LEYVA,19,C
5293,SONRISA DR.JHONATHAN ARCE,19,C
5294,SONRISA BY GUILLERMO LEYVA,19,C
5295,SONRISA BY GUILLERMO LEYVA,19,C
4610,ALVARO LUNA,6,C
4611,LOREDANA MARRIAGA,6,C
4612,DIANA ESCOBAR,6,C
215,ALBERTO GUAYO,1,
217,REHABILITACION FISICA INTEGRAL IPS,1,C
4613,CARLOS TOVAR,6,T
218,FUNDACION EUCARIS FRANCO,1,
237,CICLO VITAL PALMIRA,1,
238,CICLO VITAL PALMIRA,1,
239,CICLO VITAL PALMIRA,1,
240,OPTIMA VISION      A,1,
241,OSCAR ALVAREZ,1,C
5296,PROSANAR - APOYO MEDERI S.A.S,19,C
5297,PROSANAR - APOYO MEDERI S.A.S,19,C
5298,PROSANAR - APOYO MEDERI S.A.S,19,C
5299,PROSANAR - APOYO MEDERI S.A.S,19,C
5300,PROSANAR - APOYO MEDERI S.A.S,19,C
5301,PROSANAR - APOYO MEDERI S.A.S,19,C
5302,PROSANAR - APOYO MEDERI S.A.S,19,C
1890,TULUA CENTRO DE ESTE ELIT,6,
1079,GUIDO JOSE GONZALEZ BUGA,6,
224,CARLOS LLANOS CONTACTO,6,C
242,FISIOREHABILITAR,1,C
243,MERCELENA SANCHEZ,1,
244,ODONTOSTETICA-PALMIRA,1,
245,JAVIER MONTES MEJIA,1,
246,PROFAMILIA PALMIRA,1,C
247,JOHN GARCIA,1,C
248,CAROLINA CONCHA ARANGO,1,
249,LORENA ERAZO PALMIRA,1,
251,ORAL BLUE PALMIRA,1,
252,CLAUDIA JULIANA DIAZ PALM,1,C
259,VICTORIA E ACU A CONTACTO,1,C
260,SANDRA GARCIA,1,C
262,MONICA GARCIA,1,C
264,ORAL BLUE PALMIRA,1,
265,CARLOS TORRES,1,C
266,ORAL BLUE PALMIRA,1,
267,ORAL BLUE PALMIRA,1,
269,OPTIMA VISION,20,C
270,INTEGRA,1,C
271,ANDRES FELIPE SANCHEZ,1,N
272,INTEGRA,1,
273,INTEGRA,1,C
274,INTEGRA,1,
275,INTEGRA,1,
276,ERNEST SENZ,1,
277,FISIOREHABILITAR,1,C
278,CARLOS TORRES,1,C
279,FISIOREHABILITAR,1,C
280,CLINICA OFTAMOLOGICA DE PALMIRA,1,C
281,CLINICA OFTALMOLOGICA DE PALMIRA,1,C
282,CLINICA OFTAMOLOGICA DE PALMIRA,1,C
284,AUDRIN VALENZUELA GARCIA,1,C
285,PROFAMILIA PALMIRA,1,C
286,PROFAMILIA PALMIRA,1,C
287,PROFAMILIA 0,1,
288,JUAN FERNANDO TEJADA,1,C
289,CLIN OFTALMOL 2759699 PAL,1,C
290,VISUAL FOMENTO PALMIRA,1,C
291,ENDOSALUD DE OCCIDENTE SA,1,C
292,CENAL CENTRO NACIONAL DE,1,C
299,JUANA ESPINAL,24,C
300,CTRO RADIOLOGICO POPULAR,1,C
301,ALEXANDER GUZMAN,21,C
302,OPTIMA VISION FLORIDA,21,C
303,OPTIMA VISION,21,C
304,MONICA BERNAL,24,C
306,HERIBERTO PARRA YUMBO,1,
309,FUNDACION CIAD I.P.S YUMB,1,
310,FUNDACION CIAD YUMBO,1,
311,FUNDACION CIAD IPS YUBO,1,
312,FUNDACION CIAD YUMBO,1,
313,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
314,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
315,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
316,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
317,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
318,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
319,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
320,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
321,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
322,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
323,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
324,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
326,JUANA CECILIA ESPINAL,24,C
327,ANA ZULEMA GUTIERREZ*YUMB,1,
328,CENTRO MEDICO NUESTRA SE ORA LAS LAJAS,37,C
351,CENTRO MEDICO CENTENARIO,1,
357,CARLOS F ROJAS,8,C
5037,UMOE,1,C
5038,OSCAR MU§OZ,1,C
5041,FUNDACION CIDA I.P.S,1,C
5043,LUIS ANGEL ZAPATA,1,C
5044,LUIS ANGEL ZAPATA,1,C
5045,REHABILITACION FISICA INTEGRAL IPS,1,C
5046,ODONTOIMAGENES,1,C
5047,CENTRO DE IDIOMAS ENGLISH NOW INSTITUTE,1,C
5048,DISMODA,1,C
5049,INTE,1,C
5050,MARIA ELENA BELALCAZAR,1,C
5051,VICTORIA EUGENIA PARRA M,1,C
5052,VICTOR MANUEL PEREA,1,C
5053,FUNDASER,1,C
5054,JAIME RODRIGUEZ,1,C
5055,TURISMO DE COLOMBIA,1,C
5056,ELBAR LOZANO,1,C
5057,***LIBRE****,1,C
5058,CLINICA ODONTOLOGICA SANTA LUCIA,1,C
5059,EDUARDO GOMEZ,1,C
5060,DIONY RODRIGUEZ,1,C
5061,CLINICA OFTAMOLOGICA DE PALMIRA,1,C
5062,HOSPITAL VETERINARIO VILLA DE LAS PALMAS,1,C
5066,CENTRO MEDICO JAMUNDI,18,C
5069,RODRIGO A VIAFARA,21,S
5070,MUNDO LLANTAS S.A.S,1,C
5074,ACADEMIA DE BAILE EXPRESSIONDANZA,1,C
5075,OLGA LUCIA URIBE,1,C
5077,GOLPES Y RAYONES,1,C
5078,EFRAIN GOMEZ,1,C
5079,GESENCRO S.A.S,1,C
5080,GESENCRO S.A.S,1,C
5081,GESENCRO S.A.S,1,C
5082,LA COMARCA,1,
5084,CLINICA OFTAMOLIGICA DE PALMIRA,1,C
5085,GESENCRO S.A.S,1,C
5087,PARQUE DEL AZUCAR,1,C
5088,HOSPITAL VETERINARIO LAS PALMAS,1,C
5090,FOMENTO I.P.S,1,C
5091,INSTITUTE E.S.P,17,C
5102,CENTRO MEDICO JAMUNDI,18,C
5108,CLINICA MEDICALDENT S.A.S,21,S
5109,CLINICA MEDICALDENT S.A.S,21,S
5111,ALEXANDER GUZMAN,21,C
5114,CENTRO MEDICO SPECIAL CARE IPS,20,N
5115,CENTRO MEDICO SPECIAL CARE IPS,20,N
5116,CENTRO MEDICO SPECIAL CARE IPS,20,N
5117,CENTRO MEDICO SPECIAL CARE IPS,20,N
5118,CENTRO MEDICO SPECIAL CARE IPS,20,N
5119,CENTRO MEDICO SPECIAL CARE IPS,20,N
5131,CENTRO DE DIAGNOSTICO AUTOMOTOR,20,C
5132,COLCHONES HAPPY SLEEP,1,
5133,CTRO ESTETICA AUTOMOTRIZ,1,C
5134,CAFE BAR COMARCA,1,C
5135,HOSPITAL VETERINARIO,1,C
5136,FORMACION DEPORTIVA FUNDASER,1,C
5137,ACADEMIA DE BAILE EXPRESSIONDANZA,1,C
5138,AGENCIA DE VIAJES,1,
5139,MARIA ELENA BELALCAZAR,1,C
5140,TECNICOMECANICA LIBERTADORES,1,C
5141,CARAMELO TORTAS Y POSTRES,1,C
5147,UVERQUI SARMIENTO,1,N
5148,CENTRO MEDICO JAMUNDI,18,C
5149,ENFERMERIA,1,C
5155,GUIOVANNY OJEDA LASPRILLA,1,C
5156,FUNDACION FEDI,1,C
5157,CHATERINE SARMIENTO,1,C
5161,JULIETA CASTRO - CONTACTO,1,C
5162,CRUZ ROJA COLOMBIANA,1,C
5168,INSTITUTO NI•OS CIEGOS Y SORDOS PALMIRA,1,C
5169,CLAUDIA MARIA VELASCO,1,C
5170,CLAUDIA MARIA VELASCO,1,C
5176,CENTRAL CARE SANTA MARTA,1,C
5177,YUMBO/CTRAL CARE STA MART,1,N
5178,CENTRAL CARE SANTA MARTA,1,C
5180,CENTRAL CARE SANTA MARTA,1,C
5183,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,1,C
5186,CENTRO DIAGNOSTICO AUTOMOTOR LLANOGRANDE S.A.S,1,C
5187,SIRAD S.A.S,1,N
5188,SIGNA ABOGADOS,1,N
5191,GESENCRO S.A.S,1,C
5192,GESENCRO S.A.S,1,C
5193,CARLOS RAFAEL FAJARDO,1,C
5194,CARLOS RAFAEL FAJARDO,1,C
5196,CARAMELO TORTAS Y POSTRES,1,C
5197,CENTRO VETERINARIO LA HUELLA,1,C
5198,OPTICA CREVI S.A.S,1,C
5199,MARIA VICTORIA ORREGO,1,C
5200,OPTICA CREVI S.A.S,1,C
5201,GESENCRO S.A.S,1,C
5215,RODRIGO PERLAZA PRADO,1,C
5216,CLINICA OFTALMOLOGICA DE CALI,1,C
5217,P Y P LABORATORIO CLINICO,1,C
5218,GESENCRO S.A.S,1,C
5219,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5220,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5221,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5222,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5223,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5225,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5231,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5232,CLINIMAGENES S.A.S,1,C
5233,INSTITUTO DE LENGUAS,1,C
5234,CLINICA OFTALMOLOGICA DE CALI,1,C
5235,IPS MEDIC GINEBRA,38,C
5236,IPS MEDIC GINEBRA,38,C
5237,IPS MEDIC GINEBRA,38,C
5238,IPS MEDIC GINEBRA,38,C
5239,IPS MEDIC GINEBRA,38,C
5241,CENTRO ODONTOLOGICO SAN ANTONIO,1,C
5242,PABLO FONTALVO,1,C
5243,MEDIESPECIALISTAS S.A.S,1,C
5244,MEDIESPECIALISTAS S.A.S,1,C
5245,MEDIESPECIALISTAS S.A.S,1,C
5247,NORA GIRALDO MUNOZ,1,C
5248,INTEGRA,1,C
5249,INSTITUTO NI•OS CIEGOS Y SORDOS PALMIRA,1,C
5250,ENSALUD IPS PALMIRA,1,N
5251,CENTRO MEDICO SAN ANTONIO,1,C
5318,RODRIGO PERLAZA PRADO,1,C
5319,RODRIGO PERLAZA PRADO,1,C
5760,HERBALIFE,1,C
5761,BEISY BARRIOS,1,C
5763,CLINICA ODONTOLOGICA SANTA LUCIA,1,C
5764,CENTRO MEDICO SAN ANTONIO,1,C
5765,PLOMERIA Y ELECTRICOS,1,C
5766,CRUZ ROJA,1,C
5767,PATRICIA ESCOBAR,1,C
5769,INSTITUTO NI OS CIEGOS Y SORDOS PALMIRA,1,C
6001,SUZUKI,1,C
6011,PLOMERIA Y ELECTRICOS,1,C
5184,CENTRAL CARE SANTA MARTA,19,C
227,CLAUDIA P ESCOBAR,6,C
232,MARTHA ARIAS,6,C
233,LILIANA ALFARO BUGA,6,
1611,LILIANA ALFARO,6,C
1612,AMPARO TREJOS,6,N
5065,CENTRO MEDICO INTEGRADOS,6,C
5067,CENTRO MEDICO INTEGRADOS,6,C
1638,HUGO HERNANDO RODRIGUEZ,6,C
1634,JULIAN RENGIFO ESCOBAR,6,C
1600,LUIS EDUARDO CHICA - BUGA,6,C
1625,AGOBARDO ARIAS BUGA,6,N
1639,ALIRIO ZAFRA BUGA,6,C
1644,MARTHA L SANDINO BUGA,6,C
1603,CLINICA CABAL,6,C
1049,ESTELLA MARIA GRISALEZ,6,
1653,CONSULTORIO DE ESPECIALIS,6,
1145,CLINICA MATERNO INFANTIL,6,
1148,CLINICA MATERNO INFANTIL,6,
1646,CLINICA MATERNO INFANTIL,6,
1647,CLINICA MATERNO INFANTIL,6,
1648,CLINICA MATERNO INFANTIL,6,
1649,CLINICA MATERNO INFANTIL,6,
1650,CINICA MATERNO INFANTIL L,6,
1651,CLINICA MATERNO INFANTIL,6,
1652,CLINICA MATERNO INFANTIL,6,
1654,TRAUMATOLOGIA CLINICA MAT,6,
1606,SANTIAGO CUCALON BUGA,6,C
1660,HERNANDO RIVERA LANDINEZ,6,C
1629,OMAR VARELA,6,C
1630,PATRICIA MARTINEZ BUGA,6,C
257,KAMELIA LOZADA,6,N
1610,EDGAR LOZADA,6,C
5012,KAMELIA MARIA LOZADA,6,C
293,DENTOIMAGEN,6,C
5165,ODONTOIMAGEN,6,C
5166,DENTOIMAGEN,6,C
5167,DENTOIMAGEN,6,C
1642,DENTOIMAGEN,6,N
225,GUILLERMO RESTREPO,6,C
1641,GUSTAVO A CALVACHE,6,C
1645,GUILLERMO RESTREPO,6,C
1627,NATALIA GIRALDO BUGA,6,C
1614,SILVIO DELGADO BUGA,6,C
1643,REEMBERTO ARELLANO DEL RIO CONTACTO,6,C
5008,REEMBERTO ARELLANO DEL RIO CONTACTO,6,C
5033,FRANCISCO CAMPO-CONTACTO,6,
5034,GUILLERMO GONZALEZ-CONTAC,6,
5068,GILBERTO LOZANO,6,C
1620,CONSUELO BEJARANO GUTIERR,6,C
5032,JOSE LUIS LOPEZ,6,C
1622,LILLY VIVIAM SUAREZ MANZANO,6,C
1655,EXAMEN ESPECIALIZADO CENT,6,
1186,JAIRO ALFONSO MADRIÒAN TA,6,
1212,URGENCIAS MEDICAS S.A.S,6,N
1255,MARIO GERMAN LOZANO CIFUE,6,
1659,JUAN CARLOS RENGIFO BUGA,6,C
1043,EDMUNDO GARCIA BUGA,6,
235,LUIS E SANCHEZ CONTACTO,6,C
1021,CARLOS HERNANDEZ,6,C
1657,STELLA TEJADA,6,C
5013,STELLA TEJADA,6,C
230,OPTILENTES BUGA,6,
222,LORENA SALCEDO,6,C
229,MARIA CRISTINA PINILLA BU,6,
5031,OSCAR SANCHEZ,6,
1635,GERARDO MARIA AULESTIA SA,6,C
296,CENTRO CARDIOLOGICO DEL VALLE LTDA,6,C
5005,LUZ MARINA GIRALDO,6,
1615,NEISY RINCON BUGA BUGA,6,C
223,SANDRA ZAMORA,6,N
5006,ARMANDO MARTINEZ,6,N
694,CLINICA OFTALMOLOGICA DE BUGA LTDA,6,C
5015,CLINICA OFTALMOLOGICA DE BUGA LTDA,6,C
5762,CLINICA OFTALMOLOGICA DE BUGA LTDA,6,C
5130,CENTRO DE DIAGNOSTICO AUTOMOTOR,6,C
1619,JUAN ANTONIO LASSO CHEDE,6,C
231,ORTHOESTETICA BUGA,6,
226,FRANCI QUINTERO BUGA,6,C
5023,FRANCY QUINTERO,6,
5007,JHON JAIRO BERRIO,6,C
1626,ORAL BRACKETS BUGA,6,C
5158,ANA MARIA LOSADA,6,C
1668,ANA MARIA LOSADA,6,C
1621,SERVIMOS SANTA ISABEL,6,C
263,JUAN CARLOS FRANCO,6,C
1613,JUAN CARLOS FRANCO,6,C
5063,JUAN CARLOS FRANCO,6,C
5086,JUAN CARLOS FRANCO,6,C
5035,LUIS ALEJANDRO RICO - CONTACTO,6,C
5768,LUIS ALEJANDRO RICO,6,C
1192,MARIA VICTORIA QUINTERO,6,C
1624,ALEXANDRA LLANOS CONTACTO,6,N
256,CIMHE IPS LTDA,6,C
5071,DR CARLOS TOVAR,6,C
5072,CARLOS TOVAR,6,C
5202,SALUD DEL PACIFICO S.A.S,22,C
5203,SALUD DEL PACIFICO S.A.S,22,C
5204,SALUD DEL PACIFICO S.A.S,22,C
5206,SALUD DEL PACIFICO S.A.S,22,C
5207,SALUD DEL PACIFICO S.A.S,22,C
5208,SALUD DEL PACIFICO S.A.S,22,C
5209,SALUD DEL PACIFICO S.A.S,22,C
5210,SALUD DEL PACIFICO S.A.S,22,C
5211,SALUD DEL PACIFICO S.A.S,22,C
5212,SALUD DEL PACIFICO S.A.S,22,C
5205,SALUD DEL PACIFICO S.A.S,22,C
268,ARNALDO REYES GARCIA,20,C
2,ALEXANDRA TASCON HURTADO - CONTACTO,20,N
80,ALEXANDRA TASCON HURTADO,20,C
146,MANUEL PUENTES,21,S
5089,SONRISA DOCTOR JHONATHAN ARCE,19,C
5171,CENTRAL CARE SANTA MARTA,19,C
5172,CENTRAL CARE SANTA MARTA,19,C
5174,CENTRAL CARE SANTA MARTA,19,C
5175,YUMBO/CENTRAL CARE STA MA,19,C
6012,CENTRAL CARE SANTA MARTA,19,C
6013,CENTRAL CARE SANTA MARTA,19,C
5246,VENTA DE MEDICAMENTOS,19,C
5173,CENTRAL CARE SANTA MARTA,19,C
369,INTERFISICA,8,C
370,INTERFISICA,8,C
372,INTERFISICA,8,C
358,NELSON ADOLFO LOPEZ,8,C
394,GERARDO PAREDES,8,C
396,ALVARO NARVAEZ,8,C
395,ODONT ESTETICA,8,
359,ORTHORIDENT,8,C
367,ORTHORIDENT,8,C
5039,ORTHORIDENT,8,C
5040,ORTHORIDENT,8,C
5000,FUNDACION OFTALMOLOGICA VEJARANO,8,C
385,MIGUEL A CONSTAIN,8,C
374,EYDER BURBANO,8,C
381,CARLOS RAMIREZ,8,C
383,SILVIO FERNANDEZ,8,C
384,ANCISAR MORALES,8,C
343,JUAN NICOLAS VEJARANO,17,C
344,GONZALO VEJARANO,17,C
348,AMABLE JARAMILLO,17,C
397,ROSALBA DIAZ,8,C
